Year,Dis Mag Scale,No Injured,No Affected,No Homeless,Total Deaths,Total Affected,CPI
2002,Richter,,330,48,,378,66.3819637
2002,Richter,,65500,,2,65500,66.3819637
2002,Richter,200,300,,4,500,66.3819637
2003,Richter,143,2160,,,2303,67.88889569
2003,Richter,773,,,2,773,67.88889569
2003,Richter,584,1250000,45000,16,1295584,67.88889569
2003,Richter,569,17403,219,,18191,67.88889569
2003,Richter,4000,510000,3000,268,517000,67.88889569
2003,Richter,,3300,,,3300,67.88889569
2003,Richter,3,,8000,1,8003,67.88889569
2003,Richter,1000,415000,39500,4,455500,67.88889569
2003,Richter,56,60000,,3,60056,67.88889569
2003,Richter,43,50000,225000,9,275043,67.88889569
2003,Richter,126,18243,5000,1,23369,67.88889569
2003,Richter,65,490000,3000,4,493065,67.88889569
2003,Richter,73,3510,2435,11,6018,67.88889569
2003,Richter,4,10000,,,10004,67.88889569
2004,Richter,3183,59000,,40,62183,69.70644216
2004,Richter,100,190000,,,190100,69.70644216
2004,Richter,600,,120000,4,120600,69.70644216
2004,Richter,12,100000,,,100012,69.70644216
2004,Richter,19,19000,3000,,22019,69.70644216
2004,Richter,,,4199,,4199,69.70644216
2005,Richter,735,2800,,1,3535,72.07141045
2005,Richter,8000,607500,,16,615500,72.07141045
2005,Richter,9,18500,,,18509,72.07141045
2006,Richter,31,45520,,1,45551,74.39638749
2006,Richter,1,,68760,,68761,74.39638749
2006,Richter,106,190000,75000,22,265106,74.39638749
2006,Richter,5,125,,,130,74.39638749
2006,Richter,,20000,,,20000,74.39638749
2006,Richter,,12000,,,12000,74.39638749
2005,Richter,58,837,,,895,72.07141045
2006,Richter,42,,,2,42,74.39638749
2007,Richter,329,,,3,329,76.5186792
2008,Richter,366596,45610000,,87476,45976596,79.4563044
2008,Richter,29,,13500,4,13529,79.4563044
2008,Richter,160,,,6,160,79.4563044
2008,Richter,589,950000,50000,40,1000589,79.4563044
2008,Richter,19,,735,30,754,79.4563044
2008,Richter,19,27000,150,,27169,79.4563044
2008,Richter,1000,,350000,8,351000,79.4563044
2009,Richter,,4549,,,4549,79.17380276
2007,Richter,1000,13000,,9,14000,76.5186792
2007,Richter,359,,40668,1,41027,76.5186792
2007,Richter,12,189,,,201,76.5186792
2008,Richter,448,,,23,448,79.4563044
2008,Richter,200,270,,1,470,79.4563044
2009,Richter,336,15000,50000,1,65336,79.17380276
2010,Richter,9,,,8,9,80.47228515
2010,Richter,15,10000,500,1,10515,80.47228515
2010,Richter,11,50000,,,50011,80.47228515
2010,Richter,12000,,100000,2968,112000,80.47228515
2010,Richter,14,5000,,,5014,80.47228515
2011,Richter,1,,64500,,64501,83.01267439
2011,Richter,250,,5190,25,5440,83.01267439
2011,Richter,12,9496,,,9508,83.01267439
2009,Richter,319,25000,,1,25319,79.17380276
2010,Richter,96,,,,96,80.47228515
2011,Richter,5933,362887,,19846,368820,83.01267439
2011,Richter,132,,,2,132,83.01267439
2011,Richter,8,250,,,258,83.01267439
2011,Richter,136,,5000,7,5136,83.01267439
2011,Richter,,143000,,,143000,83.01267439
2011,Richter,26,855,735,,1616,83.01267439
2012,Richter,394,33840,,4,34234,84.7304789
2012,Richter,52,155000,,,155052,84.7304789
2012,Richter,821,744000,,81,744821,84.7304789
2012,Richter,2,2530,78,1,2610,84.7304789
2012,Richter,,5500,,,5500,84.7304789
2012,Richter,36641,,,,36641,84.7304789
2013,Richter,887,123000,,95,123887,85.97164225
2013,Richter,50,538000,,3,538050,85.97164225
2013,Richter,30,417170,10540,,427740,85.97164225
2013,Richter,14785,2184000,,198,2198785,85.97164225
2013,Richter,,58300,,,58300,85.97164225
2013,Richter,32,8406,,,8438,85.97164225
2013,Richter,19,1500,,4,1519,85.97164225
2013,Richter,,90500,,,90500,85.97164225
2013,Richter,10,80545,,,80555,85.97164225
2013,Richter,,,2000,,2000,85.97164225
2014,Richter,3413,1117100,,731,1120513,87.36629784
2014,Richter,,450000,,,450000,87.36629784
2014,Richter,21,75000,,,75021,87.36629784
2014,Richter,15,225000,,,225015,87.36629784
2014,Richter,45,184678,,,184723,87.36629784
2014,Richter,324,255000,,1,255324,87.36629784
2014,Richter,65,82200,90,5,82355,87.36629784
2014,Richter,22,,2000,1,2022,87.36629784
2015,Richter,,8640,,,8640,87.46993221
2015,Richter,32,,2000,,2032,87.46993221
2015,Richter,383,200000,7500,29,207883,87.46993221
2015,Richter,,,,1,,87.46993221
2015,Richter,263,,9000,3,9263,87.46993221
2014,Richter,41,2466,150,,2657,87.36629784
2016,Richter,800,120000,,9,120800,88.57345288
2016,Richter,1684,272763,23985,49,298432,88.57345288
2013,Richter,97,,,1,97,85.97164225
2016,Richter,525,,,117,525,88.57345288
2016,Richter,,37200,,1,37200,88.57345288
2016,Richter,,9000,120,,9120,88.57345288
2016,Richter,,,5000,2,5000,88.57345288
2017,Richter,525,217500,300,29,218325,90.46017931
2017,Richter,1,,2105,,2106,90.46017931
2017,Richter,23,,4560,8,4583,90.46017931
2017,Richter,3,23400,,,23403,90.46017931
2018,Richter,,12000,,,12000,92.6696698
2018,Richter,24,18000,,,18024,92.6696698
2019,Richter,12,32733,27,2,32772,94.3490925
2016,Richter,7,480,6,,493,88.57345288
2016,Richter,32,29800,,,29832,88.57345288
2017,Richter,57,5000,,,5057,90.46017931
2018,Richter,680,5600,,41,6280,92.6696698
2018,Richter,417,20298,,5,20715,92.6696698
2018,Richter,285,,,84,285,92.6696698
2019,Richter,220,244000,,13,244220,94.3490925
2019,Richter,63,15123,396,1,15582,94.3490925
2020,Richter,24,3300,,4,3324,95.51296742
2021,Richter,,195,,3,195,100
2021,Richter,28,39000,,3,39028,100
2021,Richter,2,8010,,,8012,100
2021,Richter,88,21870,2437,3,24395,100
2021,Richter,10,19200,,,19210,100
2022,Richter,30,29000,,,29030,
2022,Richter,9,26490,,,26499,
2019,Richter,28,432,,,460,94.3490925
2021,Richter,185,7647,60,1,7892,100
2021,Richter,11,600,,,611,100
2022,Richter,41,13500,,4,13541,
2022,Richter,183,558,,3,741,
